2024,43.5
2023,43.4
2022,43.3
2021,43.1
2020,42.9
2019,42.8
2018,42.6
2017,42.5
2016,42.3
2015,42.1
2014,41.9
2013,41.5
2012,41.2
2011,41
2010,40.8
2009,40.7
2008,40.6
2007,40.7
2006,40.7
2005,40.7
2004,40.7
2003,40.6
2002,40.6
2001,40.6
2000,40.5
