Año;municipio;edad quinquenal;sexo;concepto;estado;valor
2001;Barcelona;de 25 a 29 años;mujeres;población;;3.9788085629349146
2001;Barcelona;de 25 a 29 años;total;población;;8.108082972115657
2001;Barcelona;de 30 a 34 años;hombres;población;;3.842758208360321
2001;Barcelona;de 30 a 34 años;mujeres;población;;3.829937056781758
2001;Barcelona;de 30 a 34 años;total;población;;7.672695265142079
2001;Barcelona;de 35 a 39 años;hombres;población;;3.630445252686297
2001;Barcelona;de 35 a 39 años;mujeres;población;;3.826416222410443
2001;Barcelona;de 35 a 39 años;total;población;;7.45686147509674
2001;Barcelona;de 40 a 44 años;hombres;población;;3.352631491538372
2001;Barcelona;de 40 a 44 años;mujeres;población;;3.661601315330576
2001;Barcelona;de 40 a 44 años;total;población;;7.014232806868948
2001;Barcelona;de 45 a 49 años;hombres;población;;3.0116420042183583
2001;Barcelona;de 45 a 49 años;mujeres;población;;3.381263182369256
2001;Barcelona;de 45 a 49 años;total;población;;6.392905186587614
2001;Barcelona;de 50 a 54 años;hombres;población;;3.097603507548204
2001;Barcelona;de 50 a 54 años;mujeres;población;;3.5213658180127214
2001;Barcelona;de 50 a 54 años;total;población;;6.618969325560926
2001;Barcelona;de 55 a 59 años;hombres;población;;2.8642984073206783
2001;Barcelona;de 55 a 59 años;mujeres;población;;3.22966801189112
2001;Barcelona;de 55 a 59 años;total;población;;6.093966419211798
2001;Barcelona;de 60 a 64 años;hombres;población;;2.552737780877884
2001;Barcelona;de 60 a 64 años;mujeres;población;;2.949994187301745
2001;Barcelona;de 60 a 64 años;total;población;;5.502731968179629
2001;Barcelona;de 65 a 69 años;hombres;población;;2.706392307309053
2001;Barcelona;de 65 a 69 años;mujeres;población;;3.3912278079484497
2001;Barcelona;de 65 a 69 años;total;población;;6.097620115257502
2001;Barcelona;de 70 a 74 años;hombres;población;;2.3666650058957366
2001;Barcelona;de 70 a 74 años;mujeres;población;;3.355089432514573
2001;Barcelona;de 70 a 74 años;total;población;;5.721754438410311
2001;Barcelona;de 75 a 79 años;hombres;población;;1.8019364589042235
2001;Barcelona;de 75 a 79 años;mujeres;población;;2.915649444472124
2001;Barcelona;de 75 a 79 años;total;población;;4.717585903376348
2001;Barcelona;de 80 a 84 años;hombres;población;;0.9368076661186122
2001;Barcelona;de 80 a 84 años;mujeres;población;;1.9787089166791223
2001;Barcelona;de 80 a 84 años;total;población;;2.9155165827977347
2001;Barcelona;de 85 a 89 años;hombres;población;;0.4905917326823111
2001;Barcelona;de 85 a 89 años;mujeres;población;;1.2352149867968711
2001;Barcelona;de 85 a 89 años;total;población;;1.7258067194791822
2001;Barcelona;de 90 a 94 años;hombres;población;;0.1634862903359739
2001;Barcelona;de 90 a 94 años;mujeres;población;;0.5179612376064969
2001;Barcelona;de 90 a 94 años;total;población;;0.6814475279424709
2001;Barcelona;de 95 a 99 años;hombres;población;;0.0286316908308836
2001;Barcelona;de 95 a 99 años;mujeres;población;;0.123893511367977
2001;Barcelona;de 95 a 99 años;total;población;;0.1525252021988607
2001;Barcelona;100 años o más;hombres;población;;0.0036536960457044
2001;Barcelona;100 años o más;mujeres;población;;0.0148140766944015
2001;Barcelona;100 años o más;total;población;;0.0184677727401059
2001;Barcelona;total;hombres;población;;46.77428462292196
2001;Barcelona;total;mujeres;población;;53.22571537707804
2001;Barcelona;total;total;población;;1505325.0
2002;Barcelona;de 0 a 4 años;hombres;población;;2.070796691963672
2002;Barcelona;de 0 a 4 años;mujeres;población;;1.9600049764600345
2002;Barcelona;de 0 a 4 años;total;población;;4.030801668423706
2002;Barcelona;de 5 a 9 años;hombres;población;;1.912270247971765
2002;Barcelona;de 5 a 9 años;mujeres;población;;1.8219736902415544
2002;Barcelona;de 5 a 9 años;total;población;;3.73424393821332
2002;Barcelona;de 10 a 14 años;hombres;población;;1.9441588800345733
2002;Barcelona;de 10 a 14 años;mujeres;población;;1.847903666210491
2002;Barcelona;de 10 a 14 años;total;población;;3.792062546245064
2002;Barcelona;de 15 a 19 años;hombres;población;;2.3218460047538287
2002;Barcelona;de 15 a 19 años;mujeres;población;;2.241698806304389
2002;Barcelona;de 15 a 19 años;total;población;;4.563544811058218
2002;Barcelona;de 20 a 24 años;hombres;población;;3.3784270457506924
2002;Barcelona;de 20 a 24 años;mujeres;población;;3.236597934769086
2002;Barcelona;de 20 a 24 años;total;población;;6.615024980519778
2002;Barcelona;de 25 a 29 años;hombres;población;;4.300643665817613
2002;Barcelona;de 25 a 29 años;mujeres;población;;4.0886857561927465
2002;Barcelona;de 25 a 29 años;total;población;;8.38932942201036
2002;Barcelona;de 30 a 34 años;hombres;población;;4.031783864483136
2002;Barcelona;de 30 a 34 años;mujeres;población;;3.9239387371577865
2002;Barcelona;de 30 a 34 años;total;población;;7.955722601640923
2002;Barcelona;de 35 a 39 años;hombres;población;;3.791276789397521
2002;Barcelona;de 35 a 39 años;mujeres;población;;3.875549211296564
2002;Barcelona;de 35 a 39 años;total;población;;7.666826000694085
2002;Barcelona;de 40 a 44 años;hombres;población;;3.422953267111492
2002;Barcelona;de 40 a 44 años;mujeres;población;;3.701111191141901
2002;Barcelona;de 40 a 44 años;total;población;;7.124064458253393
2002;Barcelona;de 45 a 49 años;hombres;población;;3.050700960587746
2002;Barcelona;de 45 a 49 años;mujeres;población;;3.406255934101192
2002;Barcelona;de 45 a 49 años;total;población;;6.456956894688939
2002;Barcelona;de 50 a 54 años;hombres;población;;3.026277018576601
2002;Barcelona;de 50 a 54 años;mujeres;población;;3.443710343834101
2002;Barcelona;de 50 a 54 años;total;población;;6.469987362410702
2002;Barcelona;de 55 a 59 años;hombres;población;;2.8834657115355653
2002;Barcelona;de 55 a 59 años;mujeres;población;;3.278766885587255
2002;Barcelona;de 55 a 59 años;total;población;;6.16223259712282
2002;Barcelona;de 60 a 64 años;hombres;población;;2.419017934900045
2002;Barcelona;de 60 a 64 años;mujeres;población;;2.770644124175774
2002;Barcelona;de 60 a 64 años;total;población;;5.189662059075819
2002;Barcelona;de 65 a 69 años;hombres;población;;2.6378512169409176
2002;Barcelona;de 65 a 69 años;mujeres;población;;3.3022741112762657
2002;Barcelona;de 65 a 69 años;total;población;;5.940125328217183
2002;Barcelona;de 70 a 74 años;hombres;población;;2.322566281864077
2002;Barcelona;de 70 a 74 años;mujeres;población;;3.268552046569189
2002;Barcelona;de 70 a 74 años;total;población;;5.591118328433266
2002;Barcelona;de 75 a 79 años;hombres;población;;1.810252817265697
2002;Barcelona;de 75 a 79 años;mujeres;población;;2.919479567047977
2002;Barcelona;de 75 a 79 años;total;población;;4.7297323843136745
2002;Barcelona;de 80 a 84 años;hombres;población;;0.9774160386068532
2002;Barcelona;de 80 a 84 años;mujeres;población;;2.027252666662301
2002;Barcelona;de 80 a 84 años;total;población;;3.0046687052691543
2002;Barcelona;de 85 a 89 años;hombres;población;;0.4924076244606106
2002;Barcelona;de 85 a 89 años;mujeres;población;;1.2276795945494667
2002;Barcelona;de 85 a 89 años;total;población;;1.720087219010077
2002;Barcelona;de 90 a 94 años;hombres;población;;0.1636338635009396
2002;Barcelona;de 90 a 94 años;mujeres;población;;0.5182066409549565
2002;Barcelona;de 90 a 94 años;total;población;;0.6818405044558962
2002;Barcelona;de 95 a 99 años;hombres;población;;0.0303825981050164
2002;Barcelona;de 95 a 99 años;mujeres;población;;0.1308939948532926
2002;Barcelona;de 95 a 99 años;total;población;;0.161276592958309
2002;Barcelona;100 años o más;hombres;población;;0.0036668652885364
2002;Barcelona;100 años o más;mujeres;población;;0.0170247316967764
2002;Barcelona;100 años o más;total;población;;0.0206915969853128
2002;Barcelona;total;hombres;población;;46.9917953889169
2002;Barcelona;total;mujeres;población;;53.0082046110831
2002;Barcelona;total;total;población;;1527190.0
2003;Barcelona;de 0 a 4 años;hombres;población;;2.066292715534725
2003;Barcelona;de 0 a 4 años;mujeres;población;;1.9736052334625187
2003;Barcelona;de 0 a 4 años;total;población;;4.039897948997244
2003;Barcelona;de 5 a 9 años;hombres;población;;1.916868110830725
2003;Barcelona;de 5 a 9 años;mujeres;población;;1.820832001253524
2003;Barcelona;de 5 a 9 años;total;población;;3.737700112084249
2003;Barcelona;de 10 a 14 años;hombres;población;;1.9458053070059609
2003;Barcelona;de 10 a 14 años;mujeres;población;;1.8555819093242216
2003;Barcelona;de 10 a 14 años;total;población;;3.8013872163301823
2003;Barcelona;de 15 a 19 años;hombres;población;;2.2166018633532523
2003;Barcelona;de 15 a 19 años;mujeres;población;;2.147417955467045
2003;Barcelona;de 15 a 19 años;total;población;;4.364019818820298
2003;Barcelona;de 20 a 24 años;hombres;población;;3.346163420604042
2003;Barcelona;de 20 a 24 años;mujeres;población;;3.194211549858536
2003;Barcelona;de 20 a 24 años;total;población;;6.540374970462578
2003;Barcelona;de 25 a 29 años;hombres;población;;4.543329344465098
2003;Barcelona;de 25 a 29 años;mujeres;población;;4.272532788117806
2003;Barcelona;de 25 a 29 años;total;población;;8.815862132582904
2003;Barcelona;de 30 a 34 años;hombres;población;;4.318402666771127
2003;Barcelona;de 30 a 34 años;mujeres;población;;4.060431985584475
2003;Barcelona;de 30 a 34 años;total;población;;8.378834652355602
2003;Barcelona;de 35 a 39 años;hombres;población;;3.936848676154866
2003;Barcelona;de 35 a 39 años;mujeres;población;;3.93059369270214
2003;Barcelona;de 35 a 39 años;total;población;;7.867442368857006
2003;Barcelona;de 40 a 44 años;hombres;población;;3.489901676714655
2003;Barcelona;de 40 a 44 años;mujeres;población;;3.714638809455513
2003;Barcelona;de 40 a 44 años;total;población;;7.204540486170169
2003;Barcelona;de 45 a 49 años;hombres;población;;3.087750467860126
2003;Barcelona;de 45 a 49 años;mujeres;población;;3.418632774344206
2003;Barcelona;de 45 a 49 años;total;población;;6.506383242204332
2003;Barcelona;de 50 a 54 años;hombres;población;;2.9529208245458185
2003;Barcelona;de 50 a 54 años;mujeres;población;;3.3721942608315465
2003;Barcelona;de 50 a 54 años;total;población;;6.325115085377365
2003;Barcelona;de 55 a 59 años;hombres;población;;2.9129900210900352
2003;Barcelona;de 55 a 59 años;mujeres;población;;3.312613963903059
2003;Barcelona;de 55 a 59 años;total;población;;6.225603984993095
2003;Barcelona;de 60 a 64 años;hombres;población;;2.310616160097249
2003;Barcelona;de 60 a 64 años;mujeres;población;;2.637960294123222
2003;Barcelona;de 60 a 64 años;total;población;;4.948576454220471
2003;Barcelona;de 65 a 69 años;hombres;población;;2.4973811205644902
2003;Barcelona;de 65 a 69 años;mujeres;población;;3.106704963171416
2003;Barcelona;de 65 a 69 años;total;población;;5.604086083735906
2003;Barcelona;de 70 a 74 años;hombres;población;;2.2751712538651376
2003;Barcelona;de 70 a 74 años;mujeres;población;;3.161357091318968
2003;Barcelona;de 70 a 74 años;total;población;;5.436528345184105
2003;Barcelona;de 75 a 79 años;hombres;población;;1.7645371501789937
2003;Barcelona;de 75 a 79 años;mujeres;población;;2.83281250592328
2003;Barcelona;de 75 a 79 años;total;población;;4.597349656102273
2003;Barcelona;de 80 a 84 años;hombres;población;;1.0150132239195622
2003;Barcelona;de 80 a 84 años;mujeres;población;;2.05896364401436
2003;Barcelona;de 80 a 84 años;total;población;;3.073976867933922
2003;Barcelona;de 85 a 89 años;hombres;población;;0.4695028488606453
2003;Barcelona;de 85 a 89 años;mujeres;población;;1.181812782658911
2003;Barcelona;de 85 a 89 años;total;población;;1.6513156315195563
2003;Barcelona;de 90 a 94 años;hombres;población;;0.1674313752497254
2003;Barcelona;de 90 a 94 años;mujeres;población;;0.5270613329559283
2003;Barcelona;de 90 a 94 años;total;población;;0.6944927082056538
2003;Barcelona;de 95 a 99 años;hombres;población;;0.031780370471929
2003;Barcelona;de 95 a 99 años;mujeres;población;;0.1308491992989364
2003;Barcelona;de 95 a 99 años;total;población;;0.1626295697708654
2003;Barcelona;100 años o más;hombres;población;;0.0039804440153708
2003;Barcelona;100 años o más;mujeres;población;;0.0199022200768541
2003;Barcelona;100 años o más;total;población;;0.0238826640922249
2003;Barcelona;total;hombres;población;;47.26928904215353
2003;Barcelona;total;mujeres;población;;52.73071095784647
2003;Barcelona;total;total;población;;1582738.0
2004;Barcelona;de 0 a 4 años;hombres;población;;2.100857371277112
2004;Barcelona;de 0 a 4 años;mujeres;población;;2.017806259684545
2004;Barcelona;de 0 a 4 años;total;población;;4.118663630961657
2004;Barcelona;de 5 a 9 años;hombres;población;;1.9284202044159624
2004;Barcelona;de 5 a 9 años;mujeres;población;;1.815404809235841
2004;Barcelona;de 5 a 9 años;total;población;;3.743825013651803
2004;Barcelona;de 10 a 14 años;hombres;población;;1.9471716376969688
2004;Barcelona;de 10 a 14 años;mujeres;población;;1.864690671035244
2004;Barcelona;de 10 a 14 años;total;población;;3.811862308732213
2004;Barcelona;de 15 a 19 años;hombres;población;;2.155464585764368
2004;Barcelona;de 15 a 19 años;mujeres;población;;2.092685293935052
2004;Barcelona;de 15 a 19 años;total;población;;4.24814987969942
2004;Barcelona;de 20 a 24 años;hombres;población;;3.14415924528015
2004;Barcelona;de 20 a 24 años;mujeres;población;;3.054519792264527
2004;Barcelona;de 20 a 24 años;total;población;;6.198679037544677
2004;Barcelona;de 25 a 29 años;hombres;población;;4.530118222718881
2004;Barcelona;de 25 a 29 años;mujeres;población;;4.270575580312515
2004;Barcelona;de 25 a 29 años;total;población;;8.800693803031397
2004;Barcelona;de 30 a 34 años;hombres;población;;4.422930975720695
2004;Barcelona;de 30 a 34 años;mujeres;población;;4.156926690764792
2004;Barcelona;de 30 a 34 años;total;población;;8.579857666485488
2004;Barcelona;de 35 a 39 años;hombres;población;;3.976380795998343
2004;Barcelona;de 35 a 39 años;mujeres;población;;3.91087747838834
2004;Barcelona;de 35 a 39 años;total;población;;7.887258274386682
2004;Barcelona;de 40 a 44 años;hombres;población;;3.5120927739831465
2004;Barcelona;de 40 a 44 años;mujeres;población;;3.7211459152916673
2004;Barcelona;de 40 a 44 años;total;población;;7.233238689274813
2004;Barcelona;de 45 a 49 años;hombres;población;;3.1547386012190968
2004;Barcelona;de 45 a 49 años;mujeres;población;;3.4719292310772065
2004;Barcelona;de 45 a 49 años;total;población;;6.626667832296303
2004;Barcelona;de 50 a 54 años;hombres;población;;2.884553253437024
2004;Barcelona;de 50 a 54 años;mujeres;población;;3.299048618158736
2004;Barcelona;de 50 a 54 años;total;población;;6.18360187159576
2004;Barcelona;de 55 a 59 años;hombres;población;;2.936373092706833
2004;Barcelona;de 55 a 59 años;mujeres;población;;3.381846332004262
2004;Barcelona;de 55 a 59 años;total;población;;6.318219424711095
2004;Barcelona;de 60 a 64 años;hombres;población;;2.4014504487040607
2004;Barcelona;de 60 a 64 años;mujeres;población;;2.765519661764688
2004;Barcelona;de 60 a 64 años;total;población;;5.166970110468748
2004;Barcelona;de 65 a 69 años;hombres;población;;2.351721140847337
2004;Barcelona;de 65 a 69 años;mujeres;población;;2.9163546706906227
2004;Barcelona;de 65 a 69 años;total;población;;5.26807581153796
2004;Barcelona;de 70 a 74 años;hombres;población;;2.283873894077208
2004;Barcelona;de 70 a 74 años;mujeres;población;;3.149607296841524
2004;Barcelona;de 70 a 74 años;total;población;;5.433481190918732
2004;Barcelona;de 75 a 79 años;hombres;población;;1.7799291246501527
2004;Barcelona;de 75 a 79 años;mujeres;población;;2.8402086477049133
2004;Barcelona;de 75 a 79 años;total;población;;4.620137772355066
2004;Barcelona;de 80 a 84 años;hombres;población;;1.0742163991419953
2004;Barcelona;de 80 a 84 años;mujeres;población;;2.120432347236001
2004;Barcelona;de 80 a 84 años;total;población;;3.194648746377996
2004;Barcelona;de 85 a 89 años;hombres;población;;0.471826604989655
2004;Barcelona;de 85 a 89 años;mujeres;población;;1.1976844513875426
2004;Barcelona;de 85 a 89 años;total;población;;1.6695110563771978
2004;Barcelona;de 90 a 94 años;hombres;población;;0.1674325613570969
2004;Barcelona;de 90 a 94 años;mujeres;población;;0.5397372011965441
2004;Barcelona;de 90 a 94 años;total;población;;0.7071697625536412
2004;Barcelona;de 95 a 99 años;hombres;población;;0.0336385509196437
2004;Barcelona;de 95 a 99 años;mujeres;población;;0.1308799363464859
2004;Barcelona;de 95 a 99 años;total;población;;0.1645184872661297
2004;Barcelona;100 años o más;hombres;población;;0.0041810628261704
2004;Barcelona;100 años o más;mujeres;población;;0.0205885669470512
2004;Barcelona;100 años o más;total;población;;0.0247696297732216
2004;Barcelona;total;hombres;población;;47.2615305477319
2004;Barcelona;total;mujeres;población;;52.7384694522681
2004;Barcelona;total;total;población;;1578546.0
2005;Barcelona;de 0 a 4 años;hombres;población;;2.135429907568696
2005;Barcelona;de 0 a 4 años;mujeres;población;;2.047235691979348
2005;Barcelona;de 0 a 4 años;total;población;;4.182665599548044
2005;Barcelona;de 5 a 9 años;hombres;población;;1.9311080771463995
2005;Barcelona;de 5 a 9 años;mujeres;población;;1.8243962148674733
2005;Barcelona;de 5 a 9 años;total;población;;3.755504292013872
2005;Barcelona;de 10 a 14 años;hombres;población;;1.9253330822465984
2005;Barcelona;de 10 a 14 años;mujeres;población;;1.841721199566876
2005;Barcelona;de 10 a 14 años;total;población;;3.767054281813474
2005;Barcelona;de 15 a 19 años;hombres;población;;2.1044834675078072
2005;Barcelona;de 15 a 19 años;mujeres;población;;2.0127112659479307
2005;Barcelona;de 15 a 19 años;total;población;;4.117194733455738
2005;Barcelona;de 20 a 24 años;hombres;población;;3.029863628517176
2005;Barcelona;de 20 a 24 años;mujeres;población;;2.957111247116426
2005;Barcelona;de 20 a 24 años;total;población;;5.986974875633602
2005;Barcelona;de 25 a 29 años;hombres;población;;4.490309621329818
2005;Barcelona;de 25 a 29 años;mujeres;población;;4.259874770491032
2005;Barcelona;de 25 a 29 años;total;población;;8.75018439182085
2005;Barcelona;de 30 a 34 años;hombres;población;;4.59677039687397
2005;Barcelona;de 30 a 34 años;mujeres;población;;4.272366335546035
2005;Barcelona;de 30 a 34 años;total;población;;8.869136732420005
2005;Barcelona;de 35 a 39 años;hombres;población;;4.029628234703325
2005;Barcelona;de 35 a 39 años;mujeres;población;;3.906784049715173
2005;Barcelona;de 35 a 39 años;total;población;;7.936412284418499
2005;Barcelona;de 40 a 44 años;hombres;población;;3.597633507524756
2005;Barcelona;de 40 a 44 años;mujeres;población;;3.749603753746685
2005;Barcelona;de 40 a 44 años;total;población;;7.347237261271441
2005;Barcelona;de 45 a 49 años;hombres;población;;3.23035638623417
2005;Barcelona;de 45 a 49 años;mujeres;población;;3.535615084035592
2005;Barcelona;de 45 a 49 años;total;población;;6.765971470269761
2005;Barcelona;de 50 a 54 años;hombres;población;;2.823282017481914
2005;Barcelona;de 50 a 54 años;mujeres;población;;3.2314862765406525
2005;Barcelona;de 50 a 54 años;total;población;;6.054768294022566
2005;Barcelona;de 55 a 59 años;hombres;población;;2.9025626539867866
2005;Barcelona;de 55 a 59 años;mujeres;población;;3.360293771479685
2005;Barcelona;de 55 a 59 años;total;población;;6.262856425466472
2005;Barcelona;de 60 a 64 años;hombres;población;;2.568428981686361
2005;Barcelona;de 60 a 64 años;mujeres;población;;2.9697911272225097
2005;Barcelona;de 60 a 64 años;total;población;;5.538220108908871
2005;Barcelona;de 65 a 69 años;hombres;población;;2.126516328484221
2005;Barcelona;de 65 a 69 años;mujeres;población;;2.6629003656450574
2005;Barcelona;de 65 a 69 años;total;población;;4.789416694129279
2005;Barcelona;de 70 a 74 años;hombres;población;;2.257018658882978
2005;Barcelona;de 70 a 74 años;mujeres;población;;3.077381793073145
2005;Barcelona;de 70 a 74 años;total;población;;5.334400451956123
2005;Barcelona;de 75 a 79 años;hombres;población;;1.776689735260424
2005;Barcelona;de 75 a 79 años;mujeres;población;;2.806773064670528
2005;Barcelona;de 75 a 79 años;total;población;;4.583462799930951
2005;Barcelona;de 80 a 84 años;hombres;población;;1.141879698068201
2005;Barcelona;de 80 a 84 años;mujeres;población;;2.2024700657533387
2005;Barcelona;de 80 a 84 años;total;población;;3.34434976382154
2005;Barcelona;de 85 a 89 años;hombres;población;;0.4742400703042857
